Key,english
firemode_fa,"[D3CE1D]Full Auto[-]"
firemode_2rb,"[D3CE1D]2-Round Burst[-]"
firemode_3rb,"[D3CE1D]3-Round Burst[-]"
firemode_5rb,"[D3CE1D]5-Round Burst[-]"
firemode_sa,"[D3CE1D]Semi Auto[-]"

gunppsh41,"PPSh-41"
gunppsh41Desc,"PPSh-41 Submachine Gun\n\nUses Ammo Type: [D3CE1D]7.62×25[-]\nRepaired with: [D3CE1D]Weapon Repair Kit[-]"
gunpp9klin,"PP-9 'Klin'"
gunpp9klinDesc,"PP-9 'Klin' Submachine Gun\n\nUses Ammo Type: [D3CE1D]9×18[-]\nRepaired with: [D3CE1D]Weapon Repair Kit[-]"
gunmp5k,"MP5K"
gunmp5kDesc,"HK MP5K Submachine Gun\n\nUses Ammo Type: [D3CE1D]9×19[-]\nRepaired with: [D3CE1D]Weapon Repair Kit[-]"
gunmp5,"[09FF00]MP5[-]"
gunmp5Desc,"HK MP5 Submachine Gun\n\nUses Ammo Type: [D3CE1D]9×19[-]\nRepaired with: [D3CE1D]Weapon Repair Kit[-]\n\nRequires a grip to equip flashlights/lasers and C-Mag."
gunuzi,"[09FF00]UZI[-]"
gunuziDesc,"IWI UZI Submachine Gun\n\nUses Ammo Type: [D3CE1D]9×19[-]\nRepaired with: [D3CE1D]Weapon Repair Kit[-]"
gunpp19vityaz,"[09FF00]PP-19-01 'Vityaz'[-]"
gunpp19vityazDesc,"PP-19-01 'Vityaz' Submachine Gun\n\nUses Ammo Type: [D3CE1D]9×19[-]\nRepaired with: [D3CE1D]Weapon Repair Kit[-]\n\nRequires a grip to equip flashlights/lasers."
gunmp9,"[004CFF]MP9-N[-]"
gunmp9Desc,"B&T MP9-N Submachine Gun\n\nUses Ammo Type: [D3CE1D]9×19[-]\nRepaired with: [D3CE1D]Weapon Repair Kit[-]"
gunuziprosmg,"[004CFF]UZI PRO[-]"
gunuziprosmgDesc,"IWI UZI PRO Submachine Gun\n\nUses Ammo Type: [D3CE1D]9×19[-]\nRepaired with: [D3CE1D]Weapon Repair Kit[-]"
gunmp5sd,"[004CFF]MP5SD[-]"
gunmp5sdDesc,"HK MP5SD Submachine Gun\n\nUses Ammo Type: [D3CE1D]9×19[-]\nRepaired with: [D3CE1D]Weapon Repair Kit[-]"
gunvector9,"[BB00FF]Vector 9×19[-]"
gunvector9Desc,"TDI KRISS Vector Gen.2 Submachine Gun (9mm)\n\nUses Ammo Type: [D3CE1D]9×19[-]\nRepaired with: [D3CE1D]Weapon Repair Kit[-]"
gunmpx,"[BB00FF]SIG MPX[-]"
gunmpxDesc,"SIG MPX Submachine Gun\n\nUses Ammo Type: [D3CE1D]9×19[-]\nRepaired with: [D3CE1D]Weapon Repair Kit[-]"
gunstm9,"[BB00FF]STM-9[-]"
gunstm9Desc,"Soyuz-TM STM-9 Gen.2 Carbine\n\nUses Ammo Type: [D3CE1D]9×19[-]\nRepaired with: [D3CE1D]Weapon Repair Kit[-]"
gunsr2mveresk,"[004CFF]SR-2M 'Veresk'[-]"
gunsr2mvereskDesc,"SR-2M 'Veresk' Submachine Gun\n\nUses Ammo Type: [D3CE1D]9×21[-]\nRepaired with: [D3CE1D]Weapon Repair Kit[-]"
gunpp19bizon,"[09FF00]PP-19 'Bizon'[-]"
gunpp19bizonDesc,"PP-19 'Bizon' Submachine Gun\n\nUses Ammo Type: [D3CE1D]9×18[-]\nRepaired with: [D3CE1D]Weapon Repair Kit[-]"
gunump45,"[09FF00]UMP 45[-]"
gunump45Desc,"HK UMP 45 Submachine Gun\n\nUses Ammo Type: [D3CE1D].45ACP[-]\nRepaired with: [D3CE1D]Weapon Repair Kit[-]"
gunthompson,"[004CFF]Thompson[-]"
gunthompsonDesc,"Colt Thompson Submachine Gun\n\nUses Ammo Type: [D3CE1D].45ACP[-]\nRepaired with: [D3CE1D]Weapon Repair Kit[-]"
gunvector45,"[BB00FF]Vector .45 ACP[-]"
gunvector45Desc,"TDI KRISS Vector Gen.2 Submachine Gun (.45ACP)\n\nUses Ammo Type: [D3CE1D].45ACP[-]\nRepaired with: [D3CE1D]Weapon Repair Kit[-]"
gunmp7,"[004CFF]MP7A1[-]"
gunmp7Desc,"HK MP7A1 Submachine Gun\n\nUses Ammo Type: [D3CE1D]4.6×30[-]\nRepaired with: [D3CE1D]Weapon Repair Kit[-]"
gunp90,"[004CFF]P90[-]"
gunp90Desc,"FN P90 Submachine Gun\n\nUses Ammo Type: [D3CE1D]5.7×28[-]\nRepaired with: [D3CE1D]Weapon Repair Kit[-]"

guntokarevtt,"TT-33"
guntokarevttDesc,"Tokarev TT-33 Pistol\n\nUses Ammo Type: [D3CE1D]7.62×25[-]\nRepaired with: [D3CE1D]Weapon Repair Kit[-]"
guntokarevgold,"[FFDB1A]TT-33 Golden Pistol[-]"
guntokarevgoldDesc,"Tokarev TT-33 Pistol [FFDB1A]Golden Version[-]\n\nUses Ammo Type: [D3CE1D]7.62×25[-]\nRepaired with: [D3CE1D]Weapon Repair Kit[-]\n\n[FFDB1A]One tap, two rounds.[-]"
guntokarevmachine,"TT-33 Automatic"
guntokarevmachineDesc,"Tokarev TT-33 Pistol Machine Pistol\n\nUses Ammo Type: [D3CE1D]7.62×25[-]\nRepaired with: [D3CE1D]Weapon Repair Kit[-]"
gunpb,"PB"
gunpbDesc,"PB Silenced Pistol\n\nUses Ammo Type: [D3CE1D]9×18[-]\nRepaired with: [D3CE1D]Weapon Repair Kit[-]"
gunpmalphadog,"PM"
gunpmalphadogDesc,"Makarov PM Alphadog Pistol\n\nUses Ammo Type: [D3CE1D]9×18[-]\nRepaired with: [D3CE1D]Weapon Repair Kit[-]"
gunstechkin,"Stechkin APS"
gunstechkinDesc,"Stechkin APS Machine Pistol\n\nUses Ammo Type: [D3CE1D]9×18[-]\nRepaired with: [D3CE1D]Weapon Repair Kit[-]"
gunglock17,"Glock 17"
gunglock17Desc,"Glock 17 Pistol\n\nUses Ammo Type: [D3CE1D]9×19[-]\nRepaired with: [D3CE1D]Weapon Repair Kit[-]"
gunp226,"P226R"
gunp226Desc,"SIG P226R Pistol\n\nUses Ammo Type: [D3CE1D]9×19[-]\nRepaired with: [D3CE1D]Weapon Repair Kit[-]"
gunm9a3,"M9A3"
gunm9a3Desc,"Beretta M9A3 Pistol\n\nUses Ammo Type: [D3CE1D]9×19[-]\nRepaired with: [D3CE1D]Weapon Repair Kit[-]"
gunglock18c,"Glock 18C"
gunglock18cDesc,"Glock 18C Machine Pistol\n\nUses Ammo Type: [D3CE1D]9×19[-]\nRepaired with: [D3CE1D]Weapon Repair Kit[-]"
gunsr1mp,"SR-1MP"
gunsr1mpDesc,"Serdyukov SR-1MP Gyurza Pistol\n\nUses Ammo Type: [D3CE1D]9×21[-]\nRepaired with: [D3CE1D]Weapon Repair Kit[-]"
gunusp45tac,"USP 45"
gunusp45tacDesc,"HK USP 45 Pistol\n\nUses Ammo Type: [D3CE1D].45ACP[-]\nRepaired with: [D3CE1D]Weapon Repair Kit[-]"
gunm1911,"M1911"
gunm1911Desc,"Colt M1911A1 Pistol\n\nUses Ammo Type: [D3CE1D].45ACP[-]\nRepaired with: [D3CE1D]Weapon Repair Kit[-]"
gunm45,"M45A1"
gunm45Desc,"Colt M45A1 Pistol\n\nUses Ammo Type: [D3CE1D].45ACP[-]\nRepaired with: [D3CE1D]Weapon Repair Kit[-]"
gunusp45match,"USP 45"
gunusp45matchDesc,"HK USP Match Pistol\n\nUses Ammo Type: [D3CE1D].45ACP[-]\nRepaired with: [D3CE1D]Weapon Repair Kit[-]"
gunfiveseven,"FN Five-SeveN"
gunfivesevenDesc,"FN Five-SeveN MK2 Pistol\n\nUses Ammo Type: [D3CE1D]5.7×28[-]\nRepaired with: [D3CE1D]Weapon Repair Kit[-]"
gundeserteagle,"Desert Eagle L6"
gundeserteagleDesc,"Desert Eagle Pistol\n\nUses Ammo Type: [D3CE1D].50AE[-]\nRepaired with: [D3CE1D]Weapon Repair Kit[-]"
gunrsh12,"RSh-12"
gunrsh12Desc,"RSh-12 Revolver\n\nUses Ammo Type: [D3CE1D]12.7×55[-]\nRepaired with: [D3CE1D]Weapon Repair Kit[-]"

gunks23,"[004CFF]KS-23M[-]"
gunks23Desc,"TOZ KS-23M Pump-Action Shotgun\n\nUses Ammo Type: [D3CE1D]23×75[-]\nRepaired with: [D3CE1D]Weapon Repair Kit[-]"
gunmp43,"MP-43-1C"
gunmp43Desc,"MP-43-1C Double-Barrel Shotgun\n\nUses Ammo Type: [D3CE1D]12/70[-]\nRepaired with: [D3CE1D]Weapon Repair Kit[-]"
gunmts255,"MTs-255-12"
gunmts255Desc,"MTs-255-12 Revolver Shotgun\n\nUses Ammo Type: [D3CE1D]12/70[-]\nRepaired with: [D3CE1D]Weapon Repair Kit[-]"
gunm590,"[09FF00]M590A1[-]"
gunm590Desc,"Mossberg 590A1 Pump-Action Shotgun\n\nUses Ammo Type: [D3CE1D]12/70[-]\nRepaired with: [D3CE1D]Weapon Repair Kit[-]"
gunm870,"[09FF00]M870[-]"
gunm870Desc,"Remington Model 870 Pump-Action Shotgun\n\nUses Ammo Type: [D3CE1D]12/70[-]\nRepaired with: [D3CE1D]Weapon Repair Kit[-]"
gunksg12,"[09FF00]KSG-12[-]"
gunksg12Desc,"Kel-Tec KSG Pump-Action Shotgun\n\nUses Ammo Type: [D3CE1D]12/70[-]\nRepaired with: [D3CE1D]Weapon Repair Kit[-]"
gunmp153,"[004CFF]MP-153[-]"
gunmp153Desc,"MP-153 Semi-Automatic Shotgun\n\nUses Ammo Type: [D3CE1D]12/70[-]\nRepaired with: [D3CE1D]Weapon Repair Kit[-]"
gunm3benelli,"[004CFF]M3 Benelli[-]"
gunm3benelliDesc,"Benelli M3 Semi-Automatic Shotgun\n\nUses Ammo Type: [D3CE1D]12/70[-]\nRepaired with: [D3CE1D]Weapon Repair Kit[-]"
gunsaiga12,"[BB00FF]Saiga-12K[-]"
gunsaiga12Desc,"Saiga-12K Semi-Automatic Shotgun\n\nUses Ammo Type: [D3CE1D]12/70[-]\nRepaired with: [D3CE1D]Weapon Repair Kit[-]\n\nRequires a grip to equip flashlights/lasers."
gunAA12,"[BB00FF]AA-12[-]"
gunAA12Desc,"MPS Auto Assault-12 Gen 2 Automatic Shotgun\n\nUses Ammo Type: [D3CE1D]12/70[-]\nRepaired with: [D3CE1D]Weapon Repair Kit[-]"

gunadar,"[09FF00]ADAR[-]"
gunadarDesc,"ADAR 2-15 Assault Rifle\n\nUses Ammo Type: [D3CE1D]5.56×45[-]\nRepaired with: [D3CE1D]Weapon Repair Kit[-]"
gunauga3,"[004CFF]AUG A3[-]"
gunauga3Desc,"STEYR AUG A3 Assault Rifle\n\nUses Ammo Type: [D3CE1D]5.56×45[-]\nRepaired with: [D3CE1D]Weapon Repair Kit[-]"
gung36kv2,"[004CFF]G36 KV2[-]"
gung36kv2Desc,"HK G36 KV2 Assault Rifle\n\nUses Ammo Type: [D3CE1D]5.56×45[-]\nRepaired with: [D3CE1D]Weapon Repair Kit[-]"
gunm4a1,"[004CFF]M4A1[-]"
gunm4a1Desc,"Colt M4A1 Assault Rifle\n\nUses Ammo Type: [D3CE1D]5.56×45[-]\nRepaired with: [D3CE1D]Weapon Repair Kit[-]\n\nRequires a grip to equip flashlights/lasers."
gunm16a4,"[004CFF]M16A4[-]"
gunm16a4Desc,"Colt M16A4 Assault Rifle\n\nUses Ammo Type: [D3CE1D]5.56×45[-]\nRepaired with: [D3CE1D]Weapon Repair Kit[-]"
gunl85a2,"[004CFF]L85A2[-]"
gunl85a2Desc,"L85A2 Assault Rifle\n\nUses Ammo Type: [D3CE1D]5.56×45[-]\nRepaired with: [D3CE1D]Weapon Repair Kit[-]\n\nRequires a grip to equip flashlights/lasers."
gunmdr556,"[004CFF]MDR 5.56×45[-]"
gunmdr556Desc,"Desert Tech MDR Assault Rifle (5.56)\n\nUses Ammo Type: [D3CE1D]5.56×45[-]\nRepaired with: [D3CE1D]Weapon Repair Kit[-]"
gunhk416,"[BB00FF]HK416A5[-]"
gunhk416Desc,"HK416A5 Assault Rifle\n\nUses Ammo Type: [D3CE1D]5.56×45[-]\nRepaired with: [D3CE1D]Weapon Repair Kit[-]"
gunIWItavorx95,"[BB00FF]Tavor X95[-]"
gunIWItavorx95Desc,"IWI Tavor X95 Assault Rifle\n\nUses Ammo Type: [D3CE1D]5.56×45[-]\nRepaired with: [D3CE1D]Weapon Repair Kit[-]"
gunIWIcarmel,"[BB00FF]Carmel[-]"
gunIWIcarmelDesc,"IWI Carmel Assault Rifle\n\nUses Ammo Type: [D3CE1D]5.56×45[-]\nRepaired with: [D3CE1D]Weapon Repair Kit[-]"
gunak300velociraptor,"[09FF00]Velociraptor[-]"
gunak300velociraptorDesc,"Aklys Defense Velociraptor Assault Rifle\n\nUses Ammo Type: [D3CE1D].300 blackout[-]\nRepaired with: [D3CE1D]Weapon Repair Kit[-]"
gunstar15,"[09FF00]ST AR-15[-]"
gunstar15Desc,"ST AR-15 Assault Rifle\n\nUses Ammo Type: [D3CE1D].300 blackout[-]\nRepaired with: [D3CE1D]Weapon Repair Kit[-]"
gunhoneybadger,"[004CFF]Honey Badger[-]"
gunhoneybadgerDesc,"AAC Honey Badger Assault Rifle\n\nUses Ammo Type: [D3CE1D].300 blackout[-]\nRepaired with: [D3CE1D]Weapon Repair Kit[-]"
gunmcx,"[BB00FF]SIG MCX[-]"
gunmcxDesc,"SIG MCX Assault Rifle\n\nUses Ammo Type: [D3CE1D].300 blackout[-]\nRepaired with: [D3CE1D]Weapon Repair Kit[-]"
gunm700,"[09FF00]M700[-]"
gunm700Desc,"Remington Model 700 Sniper Rifle\n\nUses Ammo Type: [D3CE1D]7.62×51[-]\nRepaired with: [D3CE1D]Weapon Repair Kit[-]\n\nSniper Bonus: Deals [4FBE28]50%[-] extra damage."
gundvl10,"[004CFF]DVL-10 'Saboteur'[-]"
gundvl10Desc,"DVL-10 'Saboteur' Sniper Rifle\n\nUses Ammo Type: [D3CE1D]7.62×51[-]\nRepaired with: [D3CE1D]Weapon Repair Kit[-]\n\nSniper Bonus: Deals [4FBE28]100%[-] extra damage."
gunt5000,"[004CFF]T-5000[-]"
gunt5000Desc,"Orsis T-5000 Sniper Rifle\n\nUses Ammo Type: [D3CE1D]7.62×51[-]\nRepaired with: [D3CE1D]Weapon Repair Kit[-]\n\nSniper Bonus: Deals [4FBE28]100%[-] extra damage."
gunFALsa58dmr,"[004CFF]FN FAL[-]"
gunFALsa58dmrDesc,"FN FAL Marksman Rifle\n\nUses Ammo Type: [D3CE1D]7.62×51[-]\nRepaired with: [D3CE1D]Weapon Repair Kit[-]\n\nDMR Bonus: Deals [4FBE28]25%[-] extra damage."
gunm1aEBR,"[004CFF]M1A EBR[-]"
gunm1aEBRDesc,"Springfield Armory M1A Assault Rifle\n\nUses Ammo Type: [D3CE1D]7.62×51[-]\nRepaired with: [D3CE1D]Weapon Repair Kit[-]\n\nDMR Bonus: Deals [4FBE28]25%[-] extra damage."
gunrfb,"[004CFF]RFB[-]"
gunrfbDesc,"Kel-Tec RFB Marksman Rifle\n\nUses Ammo Type: [D3CE1D]7.62×51[-]\nRepaired with: [D3CE1D]Weapon Repair Kit[-]\n\nDMR Bonus: Deals [4FBE28]25%[-] extra damage."
gunsr25,"[BB00FF]SR-25[-]"
gunsr25Desc,"KAC SR-25 Marksman Rifle\n\nUses Ammo Type: [D3CE1D]7.62×51[-]\nRepaired with: [D3CE1D]Weapon Repair Kit[-]\n\nDMR Bonus: Deals [4FBE28]25%[-] extra damage."
gunrsass,"[BB00FF]RSASS[-]"
gunrsassDesc,"Remington R11 RSASS Sniper Rifle\n\nUses Ammo Type: [D3CE1D]7.62×51[-]\nRepaired with: [D3CE1D]Weapon Repair Kit[-]\n\nDMR Bonus: Deals [4FBE28]25%[-] extra damage."
gunhkg28,"[BB00FF]G28[-]"
gunhkg28Desc,"HK G28 Marksman Rifle\n\nUses Ammo Type: [D3CE1D]7.62×51[-]\nRepaired with: [D3CE1D]Weapon Repair Kit[-]\n\nDMR Bonus: Deals [4FBE28]25%[-] extra damage."
gunFALsa58br,"[004CFF]FN FAL[-]"
gunFALsa58brDesc,"FN FAL Assault Rifle\n\nUses Ammo Type: [D3CE1D]7.62×51[-]\nRepaired with: [D3CE1D]Weapon Repair Kit[-]"
gunmdr762,"[004CFF]MDR 7.62×51[-]"
gunmdr762Desc,"Desert Tech MDR Assault Rifle (7.62)\n\nUses Ammo Type: [D3CE1D]7.62×51[-]\nRepaired with: [D3CE1D]Weapon Repair Kit[-]"
gunscarh,"[BB00FF]SCAR-H[-]"
gunscarhDesc,"FN SCAR-H Assault Rifle\n\nUses Ammo Type: [D3CE1D]7.62×51[-]\nRepaired with: [D3CE1D]Weapon Repair Kit[-]"
gunhk417,"[BB00FF]HK417[-]"
gunhk417Desc,"HK 417 Assault Rifle\n\nUses Ammo Type: [D3CE1D]7.62×51[-]\nRepaired with: [D3CE1D]Weapon Repair Kit[-]"
gunm14sass,"[FFD700]M14 SASS[-]"
gunm14sassDesc,"Springfield Armory M14 Assault Rifle\n\nUses Ammo Type: [D3CE1D]7.62×51[-]\nRepaired with: [D3CE1D]Weapon Repair Kit[-]"
gunmcxspear,"[FFD700]SIG MCX Spear[-]"
gunmcxspearDesc,"SIG MCX Spear Assault Rifle\n\nUses Ammo Type: [D3CE1D]7.62×51[-]\nRepaired with: [D3CE1D]Weapon Repair Kit[-]"
gunmp18,"MP-18"
gunmp18Desc,"MP-18 Single-Shot Rifle\n\nUses Ammo Type: [D3CE1D]7.62×54R[-]\nRepaired with: [D3CE1D]Weapon Repair Kit[-]"
gunmosin,"[09FF00]Mosin-Nagant[-]"
gunmosinDesc,"Mosin-Nagant Sniper\n\nUses Ammo Type: [D3CE1D]7.62×54R[-]\nRepaired with: [D3CE1D]Weapon Repair Kit[-]\n\nSniper Bonus: Deals [4FBE28]50%[-] extra damage."
gunsv98,"[004CFF]SV-98[-]"
gunsv98Desc,"SV-98 Sniper Rifle\n\nUses Ammo Type: [D3CE1D]7.62×54R[-]\nRepaired with: [D3CE1D]Weapon Repair Kit[-]\n\nSniper Bonus: Deals [4FBE28]100%[-] extra damage."
gunsvt,"[004CFF]SVT-40[-]"
