Key,english
ammoEft54539,"5.45×39mm - PS"
ammoEft54539AP,"5.45×39mm - BS"
ammoEft54539HP,"5.45×39mm - HP"
ammoEft55645NATO,"5.56×45mm - M855"
ammoEft55645NATOAP,"5.56×45mm - SSA AP"
ammoEft55645NATOHP,"5.56×45mm - HP"
ammoEft300blk,".300 blk - BCP FMJ"
ammoEft300BblkAP,".300 blk - AP"
ammoEft300blkHP,".300 blk - Whisper"
ammoEft76239,"7.62×39mm - FMJ"
ammoEft76239AP,"7.62×39mm - MAI AP"
ammoEft76239HP,"7.62×39mm - HP"
ammoEft939,"9×39mm - SP-5"
ammoEft939AP,"9×39mm - BP"
ammoEft939HP,"9×39mm - FMJ"
ammoEft76251NATO,"7.62×51mm - BCP FMJ"
ammoEft76251NATOAP,"7.62×51mm - M993"
ammoEft76251NATOHP,"7.62×51mm - Ultra Nosler"
ammoEft76254R,"7.62×54R - FMJ"
ammoEft76254RAP,"7.62×54R - BS"
ammoEft76254RHP,"7.62×54R - HP BT"
ammoEft12755PS12,"12.7×55mm - PS12"
ammoEft12755PS12A,"12.7×55mm - PS12A"
ammoEft12755PS12B,"12.7×55mm - PS12B"
ammoEft338,".338 LM - FMJ"
ammoEft338AP,".338 LM - AP"
ammoEft338HP,".338 LM - TAC-X"
ammoEft76225mmTokarev,"7.62×25mm - Pst gzh"
ammoEft918mmPM,"9×18mm PM Ammo"
ammoEft919mm,"9×19mm - Pst gzh"
ammoEft919mmAP,"9×19mm - AP 6.3"
ammoEft919mmHP,"9×19mm - RIP"
ammoEft921mm,"9×21mm - PS"
ammoEft921mmAP,"9×21mm - 7N42"
ammoEft921mmHP,"9×21mm - PE"
ammoEft45ACP,".45 ACP - FMJ"
ammoEft45ACPAP,".45 ACP - AP 6.3"
ammoEft45ACPRIP,".45 ACP - RIP"
ammoEft4630mmHK,"4.6×30mm - FMJ SX"
ammoEft4630mmHKAP,"4.6×30mm - AP SX"
ammoEft4630mmHKHP,"4.6×30mm - Action SX"
ammoEft5728FN,"FN 5.7×28mm - SB193"
ammoEft5728FNAP,"FN 5.7×28mm - SS190"
ammoEft5728FNHP,"FN 5.7×28mm - R37.F"
ammoEft50ae,".50 AE - FMJ"
ammoEft50aeHP,".50 AE - JHP"
ammoEft7mmShotgun,"12/70 7mm Buckshot"
ammoEftFlechetteShotgun,"12/70 Flechette"
ammoEftAP20Slug,"12/70 AP-20 Slug"
ammoEftShrapnel25Shotgun,"23×75mm Shrapnel-25 Buckshot "
ammoEftBarricadeSlug,"23×75mm 'Barrikada' Slug"
Light ammo with average performance. Decent damage and penetration for its size. Ineffective against armored zombies.
High damage against unarmored targets but struggles with armor.
Decent penetration for breaking through low to mid-level armor, but lower base damage.

Medium caliber ammo with good performance. Good damage and penetration. Ineffective against armored zombies.
Very high damage against unarmored targets but struggles, when used against armored zombies.
High penetration, ensuring you break through all but the highest level armors.

Heavy-hitting standard ammo with solid damage and penetration. Ineffective against armored zombies.
Devastating damage on soft targets but poor armor penetration.
High penetration, making quick work of armored zombies at the cost of some raw damage.

93x40mmRPG7Warhead,"[FFD700]PG-7VL Warhead[-]"
93x40mmRPG7WarheadDesc,"PG-7VL Warhead used in the RPG-7 rocket launcher"

ammoEft54539Desc,"5.45×39 Ball Ammo.\nMedium caliber ammo with good performance. Good damage and penetration. Ineffective against armored zombies.\n\nStacksize: 450\nCan penetrate a block of up to 750 hitpoints."
ammoEft54539APDesc,"5.45×39 Armor Piercing Ammo.\nHigh penetration, ensuring you break through all but the highest level armors.\n\nStacksize: 450\nCan penetrate a block of up to 1500 hitpoints."
ammoEft54539HPDesc,"5.45×39 Hollow Point Ammo\nVery high damage against unarmored targets but struggles, when used against armored zombies.\n\nStacksize: 450"
ammoEft55645NATODesc,"5.56×45 Ball Ammo.\nMedium caliber ammo with good performance. Good damage and penetration. Ineffective against armored zombies.\n\nStacksize: 400\nCan penetrate a block of up to 750 hitpoints."
ammoEft55645NATOAPDesc,"5.56×45 Armor Piercing Ammo.\nHigh penetration, ensuring you break through all but the highest level armors.\n\nStacksize: 400\nCan penetrate a block of up to 1500 hitpoints."
ammoEft55645NATOHPDesc,"5.56×45 Hollow Point Ammo\nVery high damage against unarmored targets but struggles, when used against armored zombies.\n\nStacksize: 400"
ammoEft300blkDesc,".300 blackout Ball Ammo.\nMedium caliber ammo with good performance. Good damage and penetration. Ineffective against armored zombies.\n\nStacksize: 300\nCan penetrate a block of up to 750 hitpoints."
ammoEft300BblkAPDesc,".300 blackout Armor Piercing Ammo.\nHigh penetration, ensuring you break through all but the highest level armors.\n\nStacksize: 300\nCan penetrate a block of up to 1500 hitpoints."
ammoEft300blkHPDesc,".300 blackout Hollow Point Ammo\nVery high damage against unarmored targets but struggles, when used against armored zombies.\n\nStacksize: 300"
ammoEft76239Desc,"7.62×39 Ball Ammo.\nMedium caliber ammo with good performance. Good damage and penetration. Ineffective against armored zombies.\n\nStacksize: 300\nCan penetrate a block of up to 750 hitpoints."
ammoEft76239APDesc,"7.62×39 Armor Piercing Ammo.\nHigh penetration, ensuring you break through all but the highest level armors.\n\nStacksize: 300\nCan penetrate a block of up to 1500 hitpoints."
ammoEft76239HPDesc,"7.62×39 Hollow Point Ammo\nVery high damage against unarmored targets but struggles, when used against armored zombies.\n\nStacksize: 300"
ammoEft939Desc,"9×39 Ball Ammo.\nMedium caliber ammo with good performance. Good damage and penetration. Ineffective against armored zombies.\n\nStacksize: 250\nCan penetrate a block of up to 750 hitpoints."
ammoEft939APDesc,"9×39 Armor Piercing Ammo.\nHigh penetration, ensuring you break through all but the highest level armors.\n\nStacksize: 250\nCan penetrate a block of up to 1500 hitpoints."
ammoEft939HPDesc,"9×39 Hollow Point Ammo\nVery high damage against unarmored targets but struggles, when used against armored zombies.\n\nStacksize: 250"
ammoEft76251NATODesc,"7.62×51 Ball Ammo.\nHeavy-hitting standard ammo with solid damage and penetration. Ineffective against armored zombies.\n\nStacksize: 200\nCan penetrate a block of up to 750 hitpoints."
ammoEft76251NATOAPDesc,"7.62×51 Armor Piercing Ammo.\nHigh penetration, making quick work of armored zombies at the cost of some raw damage.\n\nStacksize: 200\nCan penetrate a block of up to 1500 hitpoints."
ammoEft76251NATOHPDesc,"7.62×51 Hollow Point Ammo\nDevastating damage on soft targets but poor armor penetration.\n\nStacksize: 200"
ammoEft76254RDesc,"7.62×54R Ball Ammo.\nHeavy-hitting standard ammo with solid damage and penetration. Ineffective against armored zombies.\n\nStacksize: 200\nCan penetrate a block of up to 750 hitpoints."
ammoEft76254RAPDesc,"7.62×54R Armor Piercing Ammo.\nHigh penetration, making quick work of armored zombies at the cost of some raw damage.\n\nStacksize: 200\nCan penetrate a block of up to 1500 hitpoints."
ammoEft76254RHPDesc,"7.62×54R Hollow Point Ammo\nDevastating damage on soft targets but poor armor penetration.\n\nStacksize: 200"
ammoEft12755PS12Desc,"12.7×55 Ball Ammo.\nHeavy-hitting standard ammo with solid damage and penetration. Ineffective against armored zombies.\n\nStacksize: 100\nCan penetrate a block of up to 1500 hitpoints."
ammoEft12755PS12BDesc,"12.7×55 Armor Piercing Ammo.\nHigh penetration, making quick work of armored zombies at the cost of some raw damage.\n\nStacksize: 100\nCan penetrate a block of up to 2500 hitpoints."
ammoEft12755PS12ADesc,"12.7×55 Hollow Point Ammo\nDevastating damage on soft targets but poor armor penetration.\n\nStacksize: 100"
ammoEft338Desc,".338 Lapua Magnum Ball Ammo.\nHeavy-hitting standard ammo with solid damage and penetration. Ineffective against armored zombies.\n\nStacksize: 150\nCan penetrate a block of up to 1500 hitpoints."
ammoEft338APDesc,".338 Lapua Magnum Armor Piercing Ammo.\nHigh penetration, making quick work of armored zombies at the cost of some raw damage.\n\nStacksize: 150\nCan penetrate a block of up to 2500 hitpoints."
ammoEft338HPDesc,".338 Lapua Magnum Hollow Point Ammo\nDevastating damage on soft targets but poor armor penetration.\n\nStacksize: 150"
ammoEft76225mmTokarevDesc,"7.62×25 Ball Ammo.\nLight ammo with average performance. Decent damage and penetration for its size. Ineffective against armored zombies.\n\nStacksize: 650\nCan penetrate a block of up to 750 hitpoints."
ammoEft918mmPMDesc,"9×18 Ball Ammo.\nLight ammo with average performance. Decent damage and penetration for its size. Ineffective against armored zombies.\n\nStacksize: 900\nCan penetrate a block of up to 750 hitpoints."
ammoEft919mmDesc,"9×19 Ball Ammo.\nLight ammo with average performance. Decent damage and penetration for its size. Ineffective against armored zombies.\n\nStacksize: 800\nCan penetrate a block of up to 750 hitpoints."
ammoEft919mmAPDesc,"9×19 Armor Piercing Ammo.\nDecent penetration for breaking through low to mid-level armor, but lower base damage.\n\nStacksize: 800\nCan penetrate a block of up to 1500 hitpoints."
ammoEft919mmHPDesc,"9×19 RIP Ammo\nHigh damage against unarmored targets but struggles with armor.\n\nStacksize: 800"
ammoEft921mmDesc,"9×21 Ball Ammo.\nLight ammo with average performance. Decent damage and penetration for its size. Ineffective against armored zombies.\n\nStacksize: 750\nCan penetrate a block of up to 750 hitpoints."
ammoEft921mmAPDesc,"9×21 Armor Piercing Ammo.\nDecent penetration for breaking through low to mid-level armor, but lower base damage.\n\nStacksize: 750\nCan penetrate a block of up to 1500 hitpoints."
ammoEft921mmHPDesc,"9×21 Hollow Point Ammo\nHigh damage against unarmored targets but struggles with armor.\n\nStacksize: 750"
ammoEft45ACPDesc,".45ACP Ball Ammo.\nLight ammo with average performance. Decent damage and penetration for its size. Ineffective against armored zombies.\n\nStacksize: 550\nCan penetrate a block of up to 750 hitpoints."
ammoEft45ACPAPDesc,".45ACP Armor Piercing Ammo.\nDecent penetration for breaking through low to mid-level armor, but lower base damage.\n\nStacksize: 550\nCan penetrate a block of up to 1500 hitpoints."
ammoEft45ACPRIPDesc,".45ACP RIP Ammo\nHigh damage against unarmored targets but struggles with armor.\n\nStacksize: 550"
